EventID,SampleID,SampleID_ENA,SiteID,DateTime,Latitude,Longitude,environment (biome),environment (material),environment (feature),project name,Marine Region,Sampling Platform,Depth,Depth_unit,Depth_unitUrl,Depth_flag,Protocol Label,Sampling Campaign,SAMPLE_Objective,EVENT_Device,EVENT_Method,EVENT_Comment,SAMPLE_Quantity,SAMPLE_Quantity_unit,SAMPLE_Quantity_unitUrl,SAMPLE_Quantity_flag,SAMPLE_FiltrationTime,SAMPLE_FiltrationTime_unit,SAMPLE_FiltrationTime_unitUrl,SAMPLE_FiltrationTime_flag,SAMPLE_Container,SAMPLE_Content,SAMPLE_Size-Fraction_UpperThreshold,SAMPLE_Size-Fraction_LowerThreshold,SAMPLE_Size-Fraction_LowerThreshold_unit,SAMPLE_Size-Fraction_LowerThreshold_unitUrl,SAMPLE_Size-Fraction_LowerThreshold_flag,SAMPLE_Treatment_Chemicals,SAMPLE_Treatment_Storage,Temperature,Temperature_unit,Temperature_unitUrl,Temperature_flag,Salinity,Salinity_unit,Salinity_unitUrl,Salinity_flag,CTD_Conductivity,CTD_Conductivity_unit,CTD_Conductivity_unitUrl,CTD_Conductivity_flag,CTD_Fluorescence,CTD_Fluorescence_unit,CTD_Fluorescence_unitUrl,CTD_Fluorescence_flag,CTD_Depth,CTD_Depth_unit,CTD_Depth_unitUrl,CTD_Depth_flag,Seawater Nutrients Concentration_Ammonium,Seawater Nutrients Concentration_Ammonium_unit,Seawater Nutrients Concentration_Ammonium_unitUrl,Seawater Nutrients Concentration_Ammonium_flag,Seawater Nutrients Concentration_Nitrate,Seawater Nutrients Concentration_Nitrate_unit,Seawater Nutrients Concentration_Nitrate_unitUrl,Seawater Nutrients Concentration_Nitrate_flag,Seawater Nutrients Concentration_Nitrite,Seawater Nutrients Concentration_Nitrite_unit,Seawater Nutrients Concentration_Nitrite_unitUrl,Seawater Nutrients Concentration_Nitrite_flag,Seawater Nutrients Concentration_Phosphate,Seawater Nutrients Concentration_Phosphate_unit,Seawater Nutrients Concentration_Phosphate_unitUrl,Seawater Nutrients Concentration_Phosphate_flag,Seawater Nutrients Concentration_Silicate,Seawater Nutrients Concentration_Silicate_unit,Seawater Nutrients Concentration_Silicate_unitUrl,Seawater Nutrients Concentration_Silicate_flag,Seawater Chemical Properties_pH,Seawater Chemical Properties_pH_unit,Seawater Chemical Properties_pH_unitUrl,Seawater Chemical Properties_pH_flag,Seawater Chemical Properties_Dissolved Oxygen concentration,Seawater Chemical Properties_Dissolved Oxygen concentration_unit,Seawater Chemical Properties_Dissolved Oxygen concentration_unitUrl,Seawater Chemical Properties_Dissolved Oxygen concentration_flag,Seawater Optical Properties_Downward PAR,Seawater Optical Properties_Downward PAR_unit,Seawater Optical Properties_Downward PAR_unitUrl,Seawater Optical Properties_Downward PAR_flag,Seawater Optical Properties_Turbidity,Seawater Optical Properties_Turbidity_unit,Seawater Optical Properties_Turbidity_unitUrl,Seawater Optical Properties_Turbidity_flag,Organic Matter Concentration (Amount or Mass)_DON,Organic Matter Concentration (Amount or Mass)_DON_unit,Organic Matter Concentration (Amount or Mass)_DON_flag,Organic Matter Concentration (Amount or Mass)_POC,Organic Matter Concentration (Amount or Mass)_POC_unit,Organic Matter Concentration (Amount or Mass)_POC_unitUrl,Organic Matter Concentration (Amount or Mass)_POC_flag,Organic Matter Concentration (Amount or Mass)_PON,Organic Matter Concentration (Amount or Mass)_PON_unit,Organic Matter Concentration (Amount or Mass)_PON_unitUrl,Organic Matter Concentration (Amount or Mass)_PON_flag,Organism Concentration (Amount Volume or Mass)_Pigment concentrations,Organism Concentration (Amount Volume or Mass)_Pigment concentrations_unit,Organism Concentration (Amount Volume or Mass)_Pigment concentrations_unitUrl,Organism Concentration (Amount Volume or Mass)_Pigment concentrations_flag,Organism Concentration (Amount Volume or Mass)_Nano/Microplankton,Organism Concentration (Amount Volume or Mass)_Nano/Microplankton_unit,Organism Concentration (Amount Volume or Mass)_Nano/Microplankton_flag,ENA_BioSampleID,ENA_BioProjectID_TargetGene18S,ENA_BioProjectID_TargetGeneMG,ENA_BioProjectID_TargetGene16S
OSD210_2018-06,OSD210_2018-06_NPL022_1,OSD210_2018-06_1_NPL022,OSD210,2018-06-21T07:30:00Z,43.108,3.081,coastal wetland ecosystem [ENVO:00000230], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,not provided,0,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,frequently monitored coastal lagoons,acid washed carboy,sampling and sterivex filtration,not provided,2.8,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,60,min,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/ ,,Sterivex,not provided,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,-80,25.4,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,28.5,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,0.06,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.07,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.07,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,4.96,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392436,to be added,PRJEB40760,PRJEB40757
OSD211_2018-06,OSD211_2018-06_NPL022_1,OSD211_2018-06_1_NPL022,OSD211,2018-06-21T08:30:00Z,42.967,3.003,coastal wetland ecosystem [ENVO:00000230], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,not provided,0,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,frequently monitored coastal lagoons,not provided,not provided,not provided,1.1,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,60,min,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/ ,,Sterivex,not provided,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,-80,26.2,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,14.8,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,0.06,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.18,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.15,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,44.49,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392435,to be added,PRJEB40760,PRJEB40757
OSD212_2018-06,OSD212_2018-06_NPL022_1,OSD212_2018-06_1_NPL022,OSD212,2018-06-21T10:44:00Z,55.7321,12.5807,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=5674,Harbour pier,0,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,monitoring of often sampled site for isolation of bioactive marine bacteria,Sterile 10L Nalgene carboy,Nalgene carboy was submerged into surface water,windy and water rather clear,0.5,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,440,min,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/ ,,Sterivex,particulate matter,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,-80,15.9,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,21,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,not provided,not provided,,,not provided,not provided,,,0,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,1.75,mg/l,http://vocab.nerc.ac.uk/collection/P06/current/UMGL/,Given unit does not match required unit.,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392434,to be added,PRJEB40760,PRJEB40757
OSD214_2018-06,OSD214_2018-06_NPL022_1,OSD214_2018-06_1_NPL022,OSD214,not provided,35.2135,-2.8461,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25602,not provided,not provided,not provided,,,NPL022,OSD-Jun-2018,not provided,5L bucket,the water was collected in a 5L buckets in a specific geolocation using a boat,not provided,not provided,not provided,,,not provided,not provided,,,Cryovial 5ml,particulate matter on a 142 mm PC membrane,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,-80,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392433,to be added,PRJEB40760,PRJEB40757
OSD216_2018-06,OSD216_2018-06_NPL022_1,OSD216_2018-06_1_NPL022,OSD216,2018-06-21T11:00:00Z,43.7558,13.209,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25615,Tecnopesca boat,0,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,5L Single bottle,Pump,not provided,0.7,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,20,min,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/ ,,Sterivex,particulate matter on 0.22 microm pore size filter,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,-80,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392432,to be added,PRJEB40760,PRJEB40757
OSD217_2018-06,OSD217_2018-06_NPL022_1,OSD217_2018-06_1_NPL022,OSD217,2018-06-21T13:45:00Z,44.4973,-63.5245,neritic epipelagic zone biome [ENVO:01000042], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25356,Dock,0,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,OSD 5 galon bucket,collect at surface,filter with syringe,0.85,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,20,min,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/ ,,Sterivex,particulate matter,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,-80,10,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,22,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,not provided,not provided,,,not provided,not provided,,,0,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,0,ppm,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,Given unit does not match required unit.,0,ppm,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,Given unit does not match required unit.,0,ppm,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,Given unit does not match required unit.,not provided,not provided,,,not provided,not provided,,,8,dimensionless,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392431,to be added,PRJEB40760,PRJEB40757
OSD218_2018-06,OSD218_2018-06_NPL022_1,OSD218_2018-06_1_NPL022,OSD218,2018-06-21T13:15:00Z,43.9351,-60.0044,neritic epipelagic zone biome [ENVO:01000042], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=18834,Shore,1,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,Bucket,Collect at surface (~60 cm depth),filter with syringe,2,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,106,min,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/ ,,Sterivex,particulate matter,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,-80 and held for 3 days at -20,14,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,33,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,not provided,not provided,,,not provided,not provided,,,0,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,0,ppm,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,Given unit does not match required unit.,0,ppm,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,Given unit does not match required unit.,0,ppm,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,Given unit does not match required unit.,not provided,not provided,,,not provided,not provided,,,8,dimensionless,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392430,to be added,,PRJEB40757
OSD219_2018-06,OSD219_2018-06_NPL022_1,OSD219_2018-06_1_NPL022,OSD219,2018-06-21T12:12:00Z,53.2403,-9.3123,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25361,not provided,0,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,Bucket,Suface sample,overcast and northerly breeze,2.5,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,23,min,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/ ,,not provided,not provided,not provided,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,not provided,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392429,to be added,PRJEB40760,PRJEB40757
OSD22_2018-06,OSD22_2018-06_NPL022_1,OSD22_2018-06_1_NPL022,OSD22,2018-06-20T11:30:00Z,43.239,5.2888,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,Reasearch boat Antedon II,2,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,collecting Prokaryotes on 0.22μm pore size filters using Sterivex carbidges,Niskin bottle,not provided,not provided,6,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,60,min,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/ ,,Sterivex,particulate matter on the filter,not provided,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,-80,18.87,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,38.06,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,5.098,mS/cm,http://vocab.nerc.ac.uk/collection/P06/current/MSPM/,,0.393,volts,CTD_Fluorescence_unit,,2,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,100.96,%,http://qudt.org/vocab/unit/PERCENT,Given unit does not match required unit.,not provided,not provided,,,0.19,FTU,http://vocab.nerc.ac.uk/collection/P06/current/USTU/,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392475,to be added,PRJEB40760,PRJEB40757
OSD220_2018-06,OSD220_2018-06_NPL022_1,OSD220_2018-06_1_NPL022,OSD220,2018-06-21T09:40:00Z,42.2285,-8.7788,temperate marine upwelling biome [ENVO:01000860], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25366,not provided,1,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,not provided,Niskin bottle,not provided,1.4,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,18,min,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/ ,,Sterivex,particulate matter,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,-80,18.4,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,35.22,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,51.37,mS/cm,http://vocab.nerc.ac.uk/collection/P06/current/MSPM/,,not provided,not provided,,,1,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392428,to be added,PRJEB40760,PRJEB40757
OSD223_2018-06,OSD223_2018-06_NPL022_1,OSD223_2018-06_1_NPL022,OSD223,2018-06-21T13:20:00Z,54.4853,18.5711,marginal sea biome [ENVO:01000046], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25674,not provided,0,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,Prokaryotes,10% acid washed buckets,Filters 1 and 2 with water vacuum pump. Filters 3 and 4 with mechanical vacuum pump,not provided,1.3,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,30,min,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/ ,,Sterivex,particulate matter,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,-80,18.9,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,6.6,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392427,,PRJEB40760,PRJEB40757
OSD227_2018-06,OSD227_2018-06_NPL022_1,OSD227_2018-06_1_NPL022,OSD227,2018-06-21T11:40:00Z,48.6698,-3.886,estuarine biome [ENVO:01000020], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2389,RV Neomysis,1,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,Hand pump,not provided,NE wind 25-30km/h sunny all filters are coloured light brown time of filtration (UTC) 13:10,2.76,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,30,min,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/ ,,Sterivex,particulate matter,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,-80,14.74,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,34.7,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,not provided,not provided,,,2.16,microg/l,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/,Given unit does not match required unit.,1.25,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,1313,photons/m2/s,http://vocab.nerc.ac.uk/collection/P06/current/UM2S/,Given unit does not match required unit.,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392426,to be added,PRJEB40760,PRJEB40757
OSD228_2018-06,OSD228_2018-06_NPL022_1,OSD228_2018-06_1_NPL022,OSD228,2018-06-21T09:00:00Z,35.464,24.1996,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3339,HCMR dinghy boat,not provided,not provided,,,NPL022,OSD-Jun-2018,surface water sampling (100lt) CTD cost zooplankton net sampling,Niskin bottles / CTD / zooplankton net,surface water sampling with niskin 100lt CTD cost / vertical sampling zooplankton,not provided,not provided,not provided,,,not provided,not provided,,,not provided,particulate matter,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,-80,25.35,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,38.84,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392425,to be added,,PRJEB40757
OSD229_2018-06,OSD229_2018-06_NPL022_1,OSD229_2018-06_1_NPL022,OSD229,2018-06-21T09:00:00Z,35.5455,24.3088,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3339,HCMR dinghy boat,not provided,not provided,,,NPL022,OSD-Jun-2018,surface water sampling (100lt) CTD cost zooplankton net sampling,Niskin bottles / CTD / zooplankton net,surface water sampling with niskin 100lt CTD cost / vertical sampling zooplankton,not provided,not provided,not provided,,,not provided,not provided,,,not provided,particulate matter,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,-80,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392424,to be added,PRJEB40760,PRJEB40757
OSD231_2018-06,OSD231_2018-06_NPL022_1,OSD231_2018-06_1_NPL022,OSD231,2018-06-21T10:00:00Z,37.8652,12.481,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3568,not provided,1,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,not provided,not provided,not provided,not provided,not provided,,,40,min,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/ ,,tube,DNA,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,4,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392423,,PRJEB40760,PRJEB40757
OSD232_2018-06,OSD232_2018-06_NPL022_1,OSD232_2018-06_1_NPL022,OSD232,2018-06-21T10:40:00Z,40.8031,14.34,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25611,not provided,0,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,OSD-232-PROK,Boat,sampling water from a boat,water mass very clear. Low content from NW,4,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,110,min,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/ ,,Tank,seawater,not provided,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,-80,25,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,36.8,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,55.4,mS/cm,http://vocab.nerc.ac.uk/collection/P06/current/MSPM/,,not provided,not provided,,,0.3,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392422,to be added,PRJEB40760,PRJEB40757
OSD233_2018-06,OSD233_2018-06_NPL022_1,OSD233_2018-06_1_NPL022,OSD233,2018-06-21T11:00:00Z,38.1953,15.5736,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3568,not provided,0,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,GO-FLO Sampling bottle,not provided,not provided,7.1,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,55,min,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/ ,,50ml vials,sterivex,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,-80,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392421,to be added,PRJEB40760,PRJEB40757
